Date,StationID,Sound,DeterTime
2026-04-19,S031,low_frequency_hum,999
2026-04-19,S073,unidentified_sound,999
2026-04-19,S113,boom_close,12
2026-04-19,S109,boom_distant,11
2026-04-19,S001,vehicle_pass,999
2026-04-19,S019,dog_growl,999
2026-04-19,S034,siren_far,999
2026-04-19,S116,wolf_pack,999
2026-04-19,S021,dog_fast_bark,999
2026-04-19,S100,human_warning_call,14
2026-04-19,S072,dog_snarl,14
2026-04-19,S107,chaotic_noise,999
2026-04-19,S052,alarm_beep,999
2026-04-19,S003,gravel_step,999
2026-04-19,S032,gun_rifle,999
2026-04-19,S112,wolf_howl,6
2026-04-19,S039,metal_scrape,999
2026-04-19,S071,distant_activity,999
2026-04-19,S108,rain_light,999
2026-04-19,S053,dog_attack,999
2026-04-19,S101,gun_shock,999
2026-04-19,S054,wind_noise,999
2026-04-19,S062,distortion_wave,999
2026-04-19,S016,human_yell_distant,999
2026-04-19,S066,tree_fall,999
2026-04-19,S039,metal_scrape,999
2026-04-19,S076,radio_noise,999
2026-04-19,S104,siren_close,999
2026-04-19,S016,human_yell_distant,999
2026-04-19,S114,human_shout,999
2026-04-19,S031,low_frequency_hum,999
2026-04-19,S074,branch_snap,13
2026-04-19,S087,boom_metal_hit,999
2026-04-19,S043,engine_idle,11
2026-04-19,S110,branch_snap,999
2026-04-19,S037,human_panic,999
2026-04-19,S041,human_run_noise,999
2026-04-19,S113,boom_close,999
2026-04-19,S020,branch_snap,15
2026-04-19,S061,background_static,999
2026-04-19,S064,distant_activity,999
2026-04-19,S045,insect_swarm,999
2026-04-19,S110,branch_snap,999
2026-04-19,S082,gun_single,5
2026-04-19,S017,alarm_beep,999
2026-04-19,S116,wolf_pack,11
2026-04-19,S030,gun_rifle,3
2026-04-19,S050,boom_metal_hit,15
2026-04-19,S113,boom_close,999
2026-04-19,S025,forest_noise,999
2026-04-19,S054,wind_noise,999
2026-04-19,S022,gun_rapid_fire,999
2026-04-19,S046,dog_warning,999
2026-04-19,S078,storm_wind,999
2026-04-19,S035,dog_warning,999
2026-04-19,S048,boom_crack,8
2026-04-19,S061,background_static,999
2026-04-19,S004,human_panic,999
2026-04-19,S071,distant_activity,9
2026-04-19,S086,mechanical_loop,999
2026-04-19,S063,pressure_wave,999
2026-04-19,S060,human_warning_call,999
2026-04-19,S035,dog_warning,999
2026-04-19,S020,branch_snap,9
2026-04-19,S082,gun_single,999
2026-04-19,S057,crow_caw,999
2026-04-19,S053,dog_attack,999
2026-04-19,S098,boom_shockwave,999
2026-04-19,S044,boom_close,999
2026-04-19,S004,human_panic,999
2026-04-19,S087,boom_metal_hit,999
2026-04-19,S063,pressure_wave,999
2026-04-19,S030,gun_rifle,8
2026-04-19,S052,alarm_beep,999
2026-04-19,S073,unidentified_sound,21
2026-04-19,S071,distant_activity,999
2026-04-19,S086,mechanical_loop,999
2026-04-19,S060,human_warning_call,999
2026-04-19,S089,gun_shock,999
2026-04-19,S110,branch_snap,999
2026-04-19,S087,dog_pack,999
2026-04-19,S070,sand_shift,999
2026-04-19,S086,boom_distant,2
2026-04-19,S009,human_scream,13
2026-04-19,S109,dog_territorial,7
2026-04-19,S058,human_panic,999
2026-04-19,S018,human_scream,999
2026-04-19,S112,wolf_echo,13
2026-04-19,S012,human_panic,999
2026-04-19,S057,human_laughter,999
2026-04-19,S083,unidentified_sound,999
2026-04-19,S057,human_laughter,999
2026-04-19,S114,distant_activity,999
2026-04-19,S023,human_yell_distant,999
2026-04-19,S119,human_run_noise,999
2026-04-19,S068,rain_light,999
2026-04-19,S002,wolf_chase,999
2026-04-19,S018,human_scream,20
2026-04-19,S001,high_pitch_ring,999
2026-04-19,S108,deep_resonance,999
2026-04-19,S092,wolf_multiple,9
2026-04-19,S056,boom_metal_hit,999
2026-04-19,S069,background_static,999
2026-04-19,S016,distortion_wave,7
2026-04-19,S111,wolf_howl,999
2026-04-19,S084,human_warning_call,999
2026-04-19,S029,vehicle_pass,999
2026-04-19,S117,dog_howl,999
2026-04-19,S029,vehicle_pass,999
2026-04-19,S094,ambient_loop,999
2026-04-19,S012,human_panic,999
2026-04-19,S030,distortion_wave,999
2026-04-19,S102,strange_echo,999
2026-04-19,S058,human_panic,999
2026-04-19,S040,human_voice,12
2026-04-19,S070,sand_shift,999
2026-04-19,S059,wolf_multiple,999
2026-04-19,S074,electrical_buzz,999
2026-04-19,S023,human_yell_distant,999
2026-04-19,S016,distortion_wave,999
2026-04-19,S025,alarm_loop,25
2026-04-19,S120,dog_pack,16
2026-04-19,S119,human_run_noise,7
2026-04-19,S071,dog_bark,999
2026-04-19,S034,human_laughter,999
2026-04-19,S043,pressure_wave,999
2026-04-19,S026,boom_crack,999
2026-04-19,S084,human_warning_call,8
2026-04-19,S079,boom_crack,2
2026-04-19,S006,metal_bang,999
2026-04-19,S050,dog_multiple,2
2026-04-19,S008,electrical_buzz,999
2026-04-19,S058,human_panic,999
2026-04-19,S064,dog_howl,999
2026-04-19,S089,thunder,999
2026-04-19,S073,boom_shockwave,999
2026-04-19,S037,thunder,999
2026-04-19,S019,siren_far,999
2026-04-19,S080,gun_burst,5
2026-04-19,S019,siren_far,999
2026-04-19,S007,human_laughter,999
2026-04-19,S080,gun_burst,999
2026-04-19,S027,metal_bang,999
