Week,Algorithm,SuccessRate,Encounters,GlobalEncounters
1,static,0.7375,80,80
1,random,0.2875,80,80
1,rotting_thompson,0.2125,80,80
1,cts_xgb,0.45,80,80
2,static,0.3143,70,70
2,random,0.2714,70,70
2,rotting_thompson,0.2429,70,70
2,cts_xgb,0.5286,70,70
3,static,0.1857,70,70
3,random,0.2857,70,70
3,rotting_thompson,0.2857,70,70
3,cts_xgb,0.6,70,70
4,static,0.02,50,50
4,random,0.34,50,50
4,rotting_thompson,0.26,50,50
4,cts_xgb,0.46,50,50
5,static,0.12,50,50
5,random,0.3,50,50
5,rotting_thompson,0.3,50,50
5,cts_xgb,0.56,50,50
6,static,0.0,60,60
6,random,0.3333,60,60
6,rotting_thompson,0.2833,60,60
6,cts_xgb,0.5333,60,60
7,static,0.0,70,70
7,random,0.3286,70,70
7,rotting_thompson,0.2714,70,70
7,cts_xgb,0.4714,70,70
8,static,0.0167,60,60
8,random,0.25,60,60
8,rotting_thompson,0.35,60,60
8,cts_xgb,0.4667,60,60
9,static,0.0,60,60
9,random,0.3,60,60
9,rotting_thompson,0.3833,60,60
9,cts_xgb,0.5,60,60
10,static,0.0,50,50
10,random,0.42,50,50
10,rotting_thompson,0.28,50,50
10,cts_xgb,0.64,50,50
11,static,0.0,60,60
11,random,0.2833,60,60
11,rotting_thompson,0.25,60,60
11,cts_xgb,0.5,60,60
12,static,0.0167,60,60
12,random,0.2833,60,60
12,rotting_thompson,0.2333,60,60
12,cts_xgb,0.4333,60,60
13,static,0.0,70,70
13,random,0.3,70,70
13,rotting_thompson,0.2143,70,70
13,cts_xgb,0.4857,70,70
14,static,0.0,40,40
14,random,0.3,40,40
14,rotting_thompson,0.35,40,40
14,cts_xgb,0.375,40,40
15,static,0.0,60,60
15,random,0.3833,60,60
15,rotting_thompson,0.2667,60,60
15,cts_xgb,0.4167,60,60
16,static,0.0,40,40
16,random,0.5,40,40
16,rotting_thompson,0.325,40,40
16,cts_xgb,0.525,40,40
17,static,0.0,80,80
17,random,0.2875,80,80
17,rotting_thompson,0.25,80,80
17,cts_xgb,0.4125,80,80
18,static,0.0,60,60
18,random,0.3167,60,60
18,rotting_thompson,0.25,60,60
18,cts_xgb,0.4333,60,60
19,static,0.0,50,50
19,random,0.2,50,50
19,rotting_thompson,0.12,50,50
19,cts_xgb,0.56,50,50
20,static,0.0,60,60
20,random,0.2,60,60
20,rotting_thompson,0.3,60,60
20,cts_xgb,0.2667,60,60
